Entity,Code,Year,Prevalence - Eating disorders - Sex: Both - Age: 20 to 24 (Percent),Prevalence - Eating disorders - Sex: Both - Age: 10 to 14 (Percent),Prevalence - Eating disorders - Sex: Both - Age: All Ages (Percent),Prevalence - Eating disorders - Sex: Both - Age: 30 to 34 (Percent),Prevalence - Eating disorders - Sex: Both - Age: 25 to 29 (Percent),Prevalence - Eating disorders - Sex: Both - Age: 5-14 years (Percent),Prevalence - Eating disorders - Sex: Both - Age: 50-69 years (Percent),Prevalence - Eating disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Eating disorders - Sex: Both - Age: 70+ years (Percent),Prevalence - Eating disorders - Sex: Both - Age: 15 to 19 (Percent)
Costa Rica,CRI,2006,0.61,0.12,0.25,0.49,0.58,0.06,0,0.22,0,0.39
Costa Rica,CRI,2007,0.62,0.12,0.25,0.49,0.59,0.06,0,0.22,0,0.4
Costa Rica,CRI,2008,0.63,0.12,0.25,0.5,0.6,0.06,0,0.22,0,0.4
Costa Rica,CRI,2009,0.64,0.12,0.25,0.51,0.61,0.06,0,0.23,0,0.4
Costa Rica,CRI,2010,0.65,0.12,0.26,0.51,0.62,0.06,0,0.23,0,0.41
Costa Rica,CRI,2011,0.65,0.12,0.26,0.52,0.62,0.06,0,0.23,0,0.41
Costa Rica,CRI,2012,0.66,0.12,0.26,0.52,0.63,0.07,0,0.23,0,0.42
Costa Rica,CRI,2013,0.66,0.12,0.26,0.53,0.63,0.07,0,0.24,0,0.42
Costa Rica,CRI,2014,0.67,0.13,0.26,0.53,0.64,0.07,0,0.24,0,0.42
Costa Rica,CRI,2015,0.68,0.13,0.26,0.54,0.64,0.07,0,0.24,0,0.43
Costa Rica,CRI,2016,0.68,0.13,0.26,0.55,0.65,0.07,0,0.24,0,0.43
Costa Rica,CRI,2017,0.69,0.13,0.27,0.56,0.66,0.07,0,0.25,0,0.44
Costa Rica,CRI,2018,0.69,0.13,0.27,0.56,0.66,0.07,0,0.25,0,0.44
Costa Rica,CRI,2019,0.7,0.13,0.27,0.56,0.67,0.07,0,0.25,0,0.45
Cote d'Ivoire,CIV,1990,0.29,0.08,0.12,0.27,0.28,0.03,0,0.11,0,0.22
Cote d'Ivoire,CIV,1991,0.28,0.08,0.11,0.27,0.27,0.03,0,0.11,0,0.22
Cote d'Ivoire,CIV,1992,0.28,0.08,0.11,0.27,0.27,0.03,0,0.11,0,0.22
Cote d'Ivoire,CIV,1993,0.28,0.08,0.11,0.26,0.27,0.03,0,0.11,0,0.22
Cote d'Ivoire,CIV,1994,0.27,0.08,0.11,0.26,0.27,0.03,0,0.11,0,0.22
Cote d'Ivoire,CIV,1995,0.27,0.08,0.11,0.26,0.27,0.03,0,0.11,0,0.22
Cote d'Ivoire,CIV,1996,0.27,0.08,0.11,0.26,0.26,0.03,0,0.11,0,0.21
Cote d'Ivoire,CIV,1997,0.27,0.08,0.11,0.26,0.26,0.03,0,0.11,0,0.21
Cote d'Ivoire,CIV,1998,0.27,0.07,0.12,0.26,0.26,0.03,0,0.11,0,0.21
Cote d'Ivoire,CIV,1999,0.27,0.07,0.12,0.26,0.26,0.03,0,0.11,0,0.21
Cote d'Ivoire,CIV,2000,0.27,0.07,0.12,0.26,0.26,0.03,0,0.11,0,0.21
Cote d'Ivoire,CIV,2001,0.26,0.08,0.12,0.26,0.26,0.03,0,0.11,0,0.21
Cote d'Ivoire,CIV,2002,0.26,0.07,0.12,0.26,0.26,0.03,0,0.11,0,0.21
Cote d'Ivoire,CIV,2003,0.26,0.07,0.12,0.25,0.26,0.03,0,0.11,0,0.21
Cote d'Ivoire,CIV,2004,0.26,0.07,0.12,0.25,0.26,0.03,0,0.11,0,0.21
Cote d'Ivoire,CIV,2005,0.26,0.07,0.12,0.25,0.25,0.03,0,0.11,0,0.21
Cote d'Ivoire,CIV,2006,0.26,0.07,0.12,0.25,0.25,0.03,0,0.11,0,0.21
Cote d'Ivoire,CIV,2007,0.26,0.07,0.11,0.25,0.25,0.03,0,0.11,0,0.21
Cote d'Ivoire,CIV,2008,0.26,0.07,0.11,0.25,0.25,0.03,0,0.1,0,0.21
Cote d'Ivoire,CIV,2009,0.26,0.07,0.11,0.25,0.25,0.03,0,0.1,0,0.21
Cote d'Ivoire,CIV,2010,0.26,0.07,0.11,0.25,0.25,0.03,0,0.1,0,0.21
Cote d'Ivoire,CIV,2011,0.26,0.07,0.11,0.25,0.25,0.03,0,0.1,0,0.21
Cote d'Ivoire,CIV,2012,0.26,0.07,0.11,0.25,0.26,0.03,0,0.11,0,0.21
Cote d'Ivoire,CIV,2013,0.27,0.08,0.12,0.25,0.26,0.03,0,0.11,0,0.21
Cote d'Ivoire,CIV,2014,0.27,0.08,0.12,0.26,0.26,0.03,0,0.11,0,0.21
Cote d'Ivoire,CIV,2015,0.27,0.08,0.12,0.26,0.27,0.04,0,0.11,0,0.21
Cote d'Ivoire,CIV,2016,0.28,0.08,0.12,0.27,0.27,0.04,0,0.11,0,0.22
Cote d'Ivoire,CIV,2017,0.28,0.08,0.12,0.27,0.28,0.04,0,0.11,0,0.22
Cote d'Ivoire,CIV,2018,0.28,0.08,0.12,0.27,0.28,0.04,0,0.11,0,0.22
Cote d'Ivoire,CIV,2019,0.29,0.08,0.13,0.28,0.28,0.04,0,0.12,0,0.23
Croatia,HRV,1990,0.4,0.11,0.16,0.37,0.39,0.06,0,0.16,0,0.32
Croatia,HRV,1991,0.39,0.11,0.15,0.37,0.38,0.06,0,0.16,0,0.31
Croatia,HRV,1992,0.38,0.1,0.15,0.36,0.37,0.06,0,0.16,0,0.3
Croatia,HRV,1993,0.38,0.1,0.15,0.35,0.37,0.06,0,0.15,0,0.3
Croatia,HRV,1994,0.37,0.1,0.15,0.35,0.37,0.06,0,0.15,0,0.3
Croatia,HRV,1995,0.37,0.1,0.14,0.35,0.36,0.06,0,0.15,0,0.29
Croatia,HRV,1996,0.37,0.1,0.14,0.35,0.36,0.06,0,0.15,0,0.29
Croatia,HRV,1997,0.37,0.1,0.14,0.35,0.36,0.06,0,0.15,0,0.29
Croatia,HRV,1998,0.37,0.1,0.14,0.35,0.36,0.06,0,0.15,0,0.29
Croatia,HRV,1999,0.37,0.1,0.14,0.35,0.36,0.06,0,0.15,0,0.29
Croatia,HRV,2000,0.37,0.1,0.14,0.35,0.36,0.06,0,0.15,0,0.3
Croatia,HRV,2001,0.37,0.11,0.14,0.35,0.36,0.06,0,0.15,0,0.3
Croatia,HRV,2002,0.38,0.11,0.14,0.35,0.37,0.06,0,0.16,0,0.3
Croatia,HRV,2003,0.39,0.11,0.14,0.36,0.38,0.06,0,0.16,0,0.31
Croatia,HRV,2004,0.39,0.11,0.14,0.37,0.38,0.06,0,0.16,0,0.31
Croatia,HRV,2005,0.4,0.11,0.14,0.37,0.39,0.06,0,0.16,0,0.32
Croatia,HRV,2006,0.4,0.11,0.14,0.38,0.39,0.06,0,0.17,0,0.32
Croatia,HRV,2007,0.41,0.11,0.15,0.38,0.4,0.06,0,0.17,0,0.32
Croatia,HRV,2008,0.42,0.11,0.15,0.39,0.4,0.06,0,0.17,0,0.32
Croatia,HRV,2009,0.42,0.11,0.15,0.39,0.41,0.06,0,0.17,0,0.33
Croatia,HRV,2010,0.42,0.11,0.15,0.39,0.41,0.06,0,0.17,0,0.33
Croatia,HRV,2011,0.42,0.11,0.15,0.39,0.41,0.06,0,0.17,0,0.33
Croatia,HRV,2012,0.43,0.12,0.15,0.4,0.41,0.06,0,0.17,0,0.33
Croatia,HRV,2013,0.43,0.12,0.15,0.4,0.42,0.06,0,0.17,0,0.33
Croatia,HRV,2014,0.43,0.12,0.14,0.4,0.42,0.06,0,0.18,0,0.34
Croatia,HRV,2015,0.43,0.12,0.14,0.4,0.42,0.06,0,0.18,0,0.34
Croatia,HRV,2016,0.43,0.12,0.14,0.4,0.42,0.06,0,0.18,0,0.34
Croatia,HRV,2017,0.44,0.12,0.14,0.4,0.43,0.06,0,0.18,0,0.34
Croatia,HRV,2018,0.44,0.12,0.14,0.41,0.43,0.06,0,0.18,0,0.34
Croatia,HRV,2019,0.44,0.12,0.14,0.41,0.44,0.06,0,0.18,0,0.35
Cuba,CUB,1990,0.53,0.11,0.23,0.45,0.51,0.06,0,0.2,0,0.36
Cuba,CUB,1991,0.52,0.11,0.22,0.43,0.49,0.05,0,0.19,0,0.35
Cuba,CUB,1992,0.5,0.11,0.22,0.42,0.48,0.05,0,0.19,0,0.34
Cuba,CUB,1993,0.49,0.11,0.21,0.41,0.47,0.05,0,0.18,0,0.34
Cuba,CUB,1994,0.48,0.11,0.2,0.4,0.46,0.05,0,0.18,0,0.33
Cuba,CUB,1995,0.47,0.1,0.2,0.39,0.45,0.05,0,0.18,0,0.33
Cuba,CUB,1996,0.47,0.1,0.19,0.39,0.44,0.05,0,0.17,0,0.32
Cuba,CUB,1997,0.46,0.1,0.19,0.38,0.44,0.05,0,0.17,0,0.32
Cuba,CUB,1998,0.46,0.1,0.19,0.38,0.43,0.05,0,0.17,0,0.32
Cuba,CUB,1999,0.45,0.1,0.18,0.38,0.43,0.05,0,0.17,0,0.32
Cuba,CUB,2000,0.45,0.1,0.18,0.38,0.43,0.05,0,0.17,0,0.32
Cuba,CUB,2001,0.45,0.1,0.18,0.38,0.43,0.06,0,0.17,0,0.32
Cuba,CUB,2002,0.46,0.1,0.18,0.38,0.43,0.06,0,0.17,0,0.32
Cuba,CUB,2003,0.46,0.1,0.18,0.39,0.44,0.06,0,0.17,0,0.32
Cuba,CUB,2004,0.47,0.1,0.18,0.39,0.44,0.05,0,0.17,0,0.32
Cuba,CUB,2005,0.47,0.1,0.18,0.4,0.45,0.05,0,0.17,0,0.32
Cuba,CUB,2006,0.47,0.11,0.18,0.4,0.45,0.05,0,0.18,0,0.33
Cuba,CUB,2007,0.48,0.11,0.18,0.4,0.46,0.05,0,0.18,0,0.33
Cuba,CUB,2008,0.49,0.11,0.18,0.41,0.46,0.06,0,0.18,0,0.34
Cuba,CUB,2009,0.5,0.11,0.18,0.41,0.47,0.06,0,0.18,0,0.34
Cuba,CUB,2010,0.5,0.11,0.18,0.42,0.47,0.06,0,0.19,0,0.34
Cuba,CUB,2011,0.51,0.11,0.17,0.42,0.48,0.06,0,0.19,0,0.35
Cuba,CUB,2012,0.51,0.11,0.17,0.42,0.49,0.06,0,0.19,0,0.35
Cuba,CUB,2013,0.52,0.11,0.17,0.43,0.49,0.06,0,0.19,0,0.35
Cuba,CUB,2014,0.53,0.11,0.17,0.43,0.5,0.06,0,0.19,0,0.36
Cuba,CUB,2015,0.53,0.12,0.17,0.44,0.5,0.06,0,0.2,0,0.36
Cuba,CUB,2016,0.54,0.12,0.17,0.44,0.51,0.06,0,0.2,0,0.37
Cuba,CUB,2017,0.54,0.12,0.17,0.45,0.51,0.06,0,0.2,0,0.37
Cuba,CUB,2018,0.54,0.12,0.17,0.45,0.52,0.06,0,0.2,0,0.37
Cuba,CUB,2019,0.54,0.12,0.17,0.46,0.52,0.06,0,0.2,0,0.37
Cyprus,CYP,1990,0.89,0.25,0.38,0.77,0.86,0.13,0,0.37,0,0.71
Cyprus,CYP,1991,0.9,0.26,0.38,0.78,0.87,0.13,0,0.37,0,0.72
Cyprus,CYP,1992,0.91,0.26,0.38,0.79,0.88,0.13,0,0.37,0,0.72
Cyprus,CYP,1993,0.92,0.26,0.39,0.79,0.89,0.14,0,0.38,0,0.73
Cyprus,CYP,1994,0.93,0.26,0.39,0.8,0.9,0.14,0,0.38,0,0.74
Cyprus,CYP,1995,0.94,0.26,0.39,0.81,0.91,0.14,0,0.38,0,0.74
Cyprus,CYP,1996,0.94,0.27,0.4,0.82,0.92,0.14,0,0.39,0,0.75
Cyprus,CYP,1997,0.95,0.27,0.4,0.82,0.92,0.14,0,0.39,0,0.75
Cyprus,CYP,1998,0.95,0.27,0.4,0.83,0.93,0.14,0,0.39,0,0.76
Cyprus,CYP,1999,0.96,0.27,0.41,0.84,0.94,0.15,0,0.4,0,0.76
Cyprus,CYP,2000,0.96,0.28,0.41,0.84,0.95,0.15,0,0.4,0,0.77
Cyprus,CYP,2001,0.97,0.28,0.41,0.85,0.95,0.15,0,0.4,0,0.78
Cyprus,CYP,2002,0.98,0.28,0.42,0.86,0.96,0.15,0,0.41,0,0.78
Cyprus,CYP,2003,0.99,0.28,0.43,0.87,0.97,0.16,0,0.41,0,0.79
Cyprus,CYP,2004,1,0.29,0.43,0.88,0.98,0.16,0,0.42,0,0.8
Cyprus,CYP,2005,1.01,0.29,0.44,0.89,0.99,0.16,0,0.42,0,0.8
Cyprus,CYP,2006,1.02,0.29,0.45,0.9,1,0.17,0,0.43,0,0.82
Cyprus,CYP,2007,1.03,0.3,0.45,0.91,1.01,0.17,0,0.43,0,0.82
Cyprus,CYP,2008,1.04,0.3,0.46,0.92,1.01,0.17,0,0.44,0,0.83
Cyprus,CYP,2009,1.05,0.3,0.46,0.93,1.02,0.17,0,0.44,0,0.84
Cyprus,CYP,2010,1.05,0.3,0.46,0.93,1.02,0.17,0,0.44,0,0.84
Cyprus,CYP,2011,1.05,0.3,0.46,0.93,1.02,0.17,0,0.44,0,0.84
Cyprus,CYP,2012,1.04,0.3,0.46,0.92,1.02,0.16,0,0.44,0,0.84
Cyprus,CYP,2013,1.04,0.3,0.45,0.92,1.01,0.16,0,0.44,0,0.84
Cyprus,CYP,2014,1.04,0.3,0.45,0.91,1.01,0.16,0,0.43,0,0.84
Cyprus,CYP,2015,1.04,0.3,0.44,0.91,1.01,0.15,0,0.43,0,0.84
Cyprus,CYP,2016,1.05,0.3,0.44,0.91,1.01,0.15,0,0.44,0,0.84
Cyprus,CYP,2017,1.06,0.3,0.44,0.92,1.02,0.15,0,0.44,0,0.85
Cyprus,CYP,2018,1.07,0.3,0.43,0.92,1.02,0.15,0,0.44,0,0.85
Cyprus,CYP,2019,1.07,0.3,0.43,0.92,1.03,0.15,0,0.44,0,0.85
Czechia,CZE,1990,0.43,0.11,0.17,0.4,0.42,0.06,0,0.18,0,0.33
Czechia,CZE,1991,0.43,0.11,0.17,0.4,0.42,0.06,0,0.18,0,0.33
Czechia,CZE,1992,0.42,0.11,0.17,0.4,0.42,0.06,0,0.17,0,0.33
Czechia,CZE,1993,0.42,0.11,0.17,0.4,0.42,0.06,0,0.17,0,0.33
Czechia,CZE,1994,0.42,0.11,0.17,0.4,0.41,0.06,0,0.17,0,0.33
Czechia,CZE,1995,0.42,0.11,0.17,0.4,0.41,0.06,0,0.17,0,0.33
Czechia,CZE,1996,0.42,0.11,0.17,0.4,0.42,0.06,0,0.17,0,0.33
Czechia,CZE,1997,0.42,0.11,0.17,0.4,0.42,0.06,0,0.17,0,0.33
Czechia,CZE,1998,0.43,0.11,0.17,0.4,0.42,0.06,0,0.18,0,0.33
Czechia,CZE,1999,0.43,0.11,0.17,0.4,0.42,0.06,0,0.18,0,0.33
Czechia,CZE,2000,0.43,0.12,0.17,0.4,0.42,0.06,0,0.18,0,0.33
Czechia,CZE,2001,0.43,0.12,0.17,0.41,0.43,0.07,0,0.18,0,0.33
Czechia,CZE,2002,0.44,0.12,0.17,0.41,0.43,0.07,0,0.18,0,0.34
Czechia,CZE,2003,0.44,0.12,0.17,0.41,0.43,0.07,0,0.18,0,0.34
Czechia,CZE,2004,0.45,0.12,0.18,0.42,0.44,0.07,0,0.18,0,0.35
Czechia,CZE,2005,0.45,0.12,0.18,0.42,0.44,0.07,0,0.19,0,0.35
Czechia,CZE,2006,0.46,0.12,0.18,0.43,0.45,0.07,0,0.19,0,0.35
Czechia,CZE,2007,0.46,0.12,0.18,0.44,0.46,0.07,0,0.19,0,0.36
Czechia,CZE,2008,0.47,0.13,0.18,0.44,0.46,0.07,0,0.19,0,0.36
Czechia,CZE,2009,0.47,0.13,0.18,0.45,0.46,0.06,0,0.19,0,0.36
Czechia,CZE,2010,0.48,0.13,0.18,0.45,0.47,0.06,0,0.2,0,0.37
Czechia,CZE,2011,0.48,0.13,0.18,0.45,0.47,0.06,0,0.2,0,0.37
Czechia,CZE,2012,0.49,0.13,0.18,0.45,0.48,0.06,0,0.2,0,0.37
Czechia,CZE,2013,0.49,0.13,0.17,0.45,0.48,0.06,0,0.2,0,0.37
Czechia,CZE,2014,0.49,0.13,0.17,0.45,0.48,0.06,0,0.2,0,0.38
Czechia,CZE,2015,0.49,0.13,0.17,0.46,0.48,0.06,0,0.2,0,0.38
Czechia,CZE,2016,0.5,0.13,0.17,0.46,0.48,0.06,0,0.2,0,0.38
Czechia,CZE,2017,0.5,0.13,0.17,0.46,0.49,0.06,0,0.2,0,0.38
Czechia,CZE,2018,0.5,0.13,0.16,0.47,0.49,0.07,0,0.21,0,0.38
Czechia,CZE,2019,0.51,0.13,0.16,0.47,0.5,0.07,0,0.21,0,0.39
Democratic Republic of Congo,COD,1990,0.22,0.06,0.09,0.21,0.22,0.03,0,0.09,0,0.18
Democratic Republic of Congo,COD,1991,0.22,0.06,0.08,0.21,0.21,0.03,0,0.09,0,0.18
Democratic Republic of Congo,COD,1992,0.21,0.06,0.08,0.2,0.21,0.03,0,0.09,0,0.17
Democratic Republic of Congo,COD,1993,0.21,0.06,0.08,0.2,0.2,0.03,0,0.08,0,0.17
Democratic Republic of Congo,COD,1994,0.2,0.06,0.08,0.19,0.2,0.03,0,0.08,0,0.17
Democratic Republic of Congo,COD,1995,0.2,0.06,0.08,0.19,0.19,0.03,0,0.08,0,0.16
Democratic Republic of Congo,COD,1996,0.19,0.06,0.08,0.18,0.19,0.03,0,0.08,0,0.16
Democratic Republic of Congo,COD,1997,0.19,0.06,0.07,0.18,0.18,0.03,0,0.07,0,0.15
Democratic Republic of Congo,COD,1998,0.18,0.06,0.07,0.17,0.17,0.03,0,0.07,0,0.15
Democratic Republic of Congo,COD,1999,0.18,0.05,0.07,0.17,0.17,0.02,0,0.07,0,0.15
Democratic Republic of Congo,COD,2000,0.17,0.05,0.07,0.16,0.17,0.02,0,0.07,0,0.15
Democratic Republic of Congo,COD,2001,0.17,0.05,0.07,0.16,0.16,0.02,0,0.07,0,0.14
Democratic Republic of Congo,COD,2002,0.17,0.05,0.07,0.16,0.16,0.02,0,0.07,0,0.14
Democratic Republic of Congo,COD,2003,0.17,0.05,0.07,0.15,0.16,0.02,0,0.07,0,0.14
Democratic Republic of Congo,COD,2004,0.17,0.05,0.07,0.15,0.16,0.02,0,0.07,0,0.14
Democratic Republic of Congo,COD,2005,0.16,0.05,0.07,0.15,0.16,0.02,0,0.06,0,0.14
Democratic Republic of Congo,COD,2006,0.17,0.05,0.07,0.15,0.16,0.02,0,0.06,0,0.14
Democratic Republic of Congo,COD,2007,0.17,0.05,0.07,0.15,0.16,0.02,0,0.06,0,0.14
Democratic Republic of Congo,COD,2008,0.17,0.05,0.07,0.15,0.16,0.02,0,0.06,0,0.14
Democratic Republic of Congo,COD,2009,0.16,0.05,0.07,0.15,0.16,0.02,0,0.06,0,0.14
Democratic Republic of Congo,COD,2010,0.17,0.05,0.07,0.15,0.16,0.02,0,0.06,0,0.14
Democratic Republic of Congo,COD,2011,0.17,0.05,0.07,0.15,0.16,0.02,0,0.07,0,0.14
Democratic Republic of Congo,COD,2012,0.17,0.05,0.07,0.15,0.16,0.02,0,0.07,0,0.14
Democratic Republic of Congo,COD,2013,0.17,0.05,0.07,0.16,0.16,0.02,0,0.07,0,0.14
Democratic Republic of Congo,COD,2014,0.18,0.05,0.07,0.16,0.17,0.03,0,0.07,0,0.15
Democratic Republic of Congo,COD,2015,0.18,0.06,0.07,0.17,0.17,0.03,0,0.07,0,0.15
Democratic Republic of Congo,COD,2016,0.18,0.06,0.08,0.17,0.18,0.03,0,0.07,0,0.15
Democratic Republic of Congo,COD,2017,0.19,0.06,0.08,0.17,0.18,0.03,0,0.07,0,0.15
Democratic Republic of Congo,COD,2018,0.19,0.06,0.08,0.18,0.18,0.03,0,0.07,0,0.16
Democratic Republic of Congo,COD,2019,0.19,0.06,0.08,0.18,0.18,0.03,0,0.08,0,0.16
Denmark,DNK,1990,1.09,0.31,0.44,0.93,1.05,0.18,0,0.45,0,0.86
Denmark,DNK,1991,1.09,0.31,0.44,0.94,1.05,0.18,0,0.45,0,0.87
Denmark,DNK,1992,1.09,0.31,0.43,0.94,1.05,0.18,0,0.45,0,0.87
Denmark,DNK,1993,1.1,0.31,0.43,0.94,1.05,0.17,0,0.46,0,0.87
Denmark,DNK,1994,1.1,0.32,0.43,0.95,1.06,0.17,0,0.46,0,0.87
Denmark,DNK,1995,1.11,0.32,0.43,0.95,1.06,0.17,0,0.46,0,0.88
Denmark,DNK,1996,1.11,0.32,0.43,0.96,1.07,0.17,0,0.46,0,0.88
Denmark,DNK,1997,1.12,0.32,0.43,0.96,1.08,0.16,0,0.47,0,0.89
Denmark,DNK,1998,1.13,0.33,0.43,0.97,1.09,0.16,0,0.47,0,0.9
Denmark,DNK,1999,1.14,0.32,0.42,0.97,1.1,0.16,0,0.47,0,0.91
Denmark,DNK,2000,1.15,0.33,0.42,0.98,1.1,0.17,0,0.48,0,0.91
Denmark,DNK,2001,1.15,0.33,0.42,0.99,1.11,0.17,0,0.48,0,0.92
Denmark,DNK,2002,1.16,0.33,0.42,0.99,1.12,0.17,0,0.48,0,0.92
Denmark,DNK,2003,1.17,0.33,0.42,1,1.13,0.18,0,0.49,0,0.93
Denmark,DNK,2004,1.18,0.34,0.42,1.01,1.14,0.18,0,0.49,0,0.94
Denmark,DNK,2005,1.19,0.34,0.42,1.01,1.14,0.18,0,0.49,0,0.94
Denmark,DNK,2006,1.19,0.34,0.42,1.02,1.15,0.19,0,0.5,0,0.94
Denmark,DNK,2007,1.19,0.34,0.42,1.03,1.16,0.19,0,0.5,0,0.95
Denmark,DNK,2008,1.19,0.34,0.42,1.03,1.16,0.19,0,0.51,0,0.96
Denmark,DNK,2009,1.2,0.35,0.42,1.04,1.17,0.2,0,0.51,0,0.96
Denmark,DNK,2010,1.2,0.35,0.42,1.04,1.17,0.2,0,0.51,0,0.96
Denmark,DNK,2011,1.2,0.35,0.42,1.04,1.17,0.2,0,0.51,0,0.97
Denmark,DNK,2012,1.21,0.35,0.42,1.04,1.17,0.2,0,0.51,0,0.97
Denmark,DNK,2013,1.21,0.36,0.42,1.04,1.17,0.2,0,0.51,0,0.97
Denmark,DNK,2014,1.22,0.36,0.42,1.04,1.17,0.2,0,0.51,0,0.97
Denmark,DNK,2015,1.22,0.36,0.42,1.04,1.17,0.2,0,0.51,0,0.97
Denmark,DNK,2016,1.23,0.36,0.42,1.05,1.18,0.2,0,0.52,0,0.98
Denmark,DNK,2017,1.23,0.36,0.42,1.05,1.18,0.2,0,0.52,0,0.99
Denmark,DNK,2018,1.24,0.36,0.42,1.05,1.19,0.2,0,0.52,0,1
Denmark,DNK,2019,1.25,0.36,0.42,1.06,1.2,0.2,0,0.52,0,1
Djibouti,DJI,1990,0.27,0.08,0.12,0.27,0.27,0.04,0,0.11,0,0.22
Djibouti,DJI,1991,0.27,0.08,0.12,0.26,0.26,0.04,0,0.11,0,0.22
Djibouti,DJI,1992,0.27,0.08,0.11,0.26,0.26,0.04,0,0.11,0,0.21
Djibouti,DJI,1993,0.26,0.08,0.11,0.26,0.26,0.04,0,0.11,0,0.21
Djibouti,DJI,1994,0.26,0.08,0.11,0.25,0.26,0.04,0,0.11,0,0.21
Djibouti,DJI,1995,0.26,0.08,0.11,0.25,0.25,0.04,0,0.11,0,0.21
Djibouti,DJI,1996,0.26,0.08,0.11,0.25,0.25,0.04,0,0.1,0,0.21
Djibouti,DJI,1997,0.25,0.08,0.11,0.24,0.25,0.04,0,0.1,0,0.21
Djibouti,DJI,1998,0.25,0.08,0.11,0.24,0.25,0.04,0,0.1,0,0.21
Djibouti,DJI,1999,0.25,0.08,0.11,0.24,0.24,0.04,0,0.1,0,0.2
Djibouti,DJI,2000,0.25,0.08,0.11,0.24,0.24,0.04,0,0.1,0,0.2
Djibouti,DJI,2001,0.25,0.08,0.11,0.24,0.25,0.04,0,0.1,0,0.2
Djibouti,DJI,2002,0.25,0.08,0.11,0.24,0.24,0.04,0,0.1,0,0.2
Djibouti,DJI,2003,0.25,0.07,0.11,0.24,0.24,0.04,0,0.1,0,0.2
Djibouti,DJI,2004,0.25,0.07,0.11,0.24,0.24,0.04,0,0.1,0,0.2
Djibouti,DJI,2005,0.25,0.07,0.11,0.24,0.24,0.04,0,0.1,0,0.2
Djibouti,DJI,2006,0.25,0.07,0.12,0.24,0.24,0.04,0,0.1,0,0.2
Djibouti,DJI,2007,0.25,0.07,0.12,0.24,0.25,0.04,0,0.1,0,0.2
Djibouti,DJI,2008,0.25,0.07,0.12,0.24,0.25,0.04,0,0.1,0,0.2
Djibouti,DJI,2009,0.26,0.07,0.12,0.24,0.25,0.04,0,0.1,0,0.2
Djibouti,DJI,2010,0.26,0.08,0.12,0.25,0.25,0.04,0,0.1,0,0.21
Djibouti,DJI,2011,0.26,0.08,0.12,0.25,0.25,0.04,0,0.1,0,0.21
Djibouti,DJI,2012,0.26,0.08,0.12,0.25,0.26,0.04,0,0.11,0,0.21
Djibouti,DJI,2013,0.26,0.08,0.12,0.25,0.26,0.04,0,0.11,0,0.21
Djibouti,DJI,2014,0.26,0.08,0.12,0.26,0.26,0.04,0,0.11,0,0.21
Djibouti,DJI,2015,0.27,0.08,0.12,0.26,0.26,0.04,0,0.11,0,0.21
Djibouti,DJI,2016,0.27,0.08,0.12,0.26,0.27,0.04,0,0.11,0,0.21
Djibouti,DJI,2017,0.28,0.08,0.13,0.27,0.27,0.04,0,0.11,0,0.22
Djibouti,DJI,2018,0.28,0.08,0.13,0.27,0.27,0.04,0,0.11,0,0.22
Djibouti,DJI,2019,0.28,0.08,0.13,0.27,0.27,0.04,0,0.11,0,0.22
Dominica,DMA,1990,0.5,0.11,0.19,0.42,0.47,0.06,0,0.18,0,0.34
Dominica,DMA,1991,0.5,0.11,0.19,0.42,0.48,0.06,0,0.19,0,0.35
Dominica,DMA,1992,0.5,0.11,0.19,0.43,0.48,0.06,0,0.19,0,0.35
Dominica,DMA,1993,0.5,0.11,0.19,0.43,0.48,0.06,0,0.19,0,0.35
Dominica,DMA,1994,0.51,0.11,0.19,0.43,0.49,0.06,0,0.19,0,0.35
Dominica,DMA,1995,0.51,0.11,0.19,0.44,0.49,0.06,0,0.19,0,0.36
Dominica,DMA,1996,0.51,0.11,0.19,0.44,0.49,0.06,0,0.19,0,0.36
Dominica,DMA,1997,0.52,0.12,0.2,0.44,0.5,0.06,0,0.19,0,0.36
Dominica,DMA,1998,0.52,0.12,0.2,0.44,0.5,0.06,0,0.2,0,0.36
Dominica,DMA,1999,0.53,0.12,0.2,0.44,0.5,0.06,0,0.2,0,0.37
Dominica,DMA,2000,0.53,0.12,0.2,0.45,0.51,0.06,0,0.2,0,0.37
Dominica,DMA,2001,0.53,0.12,0.2,0.45,0.51,0.06,0,0.2,0,0.37
Dominica,DMA,2002,0.53,0.12,0.2,0.45,0.51,0.06,0,0.2,0,0.37
Dominica,DMA,2003,0.54,0.12,0.2,0.45,0.51,0.06,0,0.2,0,0.37
Dominica,DMA,2004,0.54,0.12,0.2,0.46,0.51,0.06,0,0.2,0,0.37
Dominica,DMA,2005,0.54,0.12,0.2,0.46,0.52,0.06,0,0.2,0,0.37
Dominica,DMA,2006,0.55,0.12,0.2,0.46,0.52,0.06,0,0.2,0,0.37
Dominica,DMA,2007,0.56,0.12,0.2,0.47,0.53,0.06,0,0.21,0,0.38
Dominica,DMA,2008,0.56,0.12,0.2,0.47,0.54,0.06,0,0.21,0,0.38
Dominica,DMA,2009,0.57,0.12,0.2,0.47,0.54,0.06,0,0.21,0,0.39
Dominica,DMA,2010,0.57,0.12,0.21,0.48,0.55,0.06,0,0.21,0,0.39
